# Private Trades - 2025-06-08 - 2025-06-09T00:05:16.000Z;;;;;;;;
TradeId;Side;DeliveryStart;DeliveryEnd;ExecutionTime;Price;Currency;Volume;VolumeUnit
2043237435;SELL;2025-06-08 00:00:00+00:00;2025-06-08 01:00:00+00:00;2025-06-07 21:37:10.822000+00:00;69.11;EUR;0.2;MWH
2043237265;SELL;2025-06-08 00:00:00+00:00;2025-06-08 01:00:00+00:00;2025-06-07 21:36:54.091000+00:00;69.29;EUR;0.2;MWH
2043236802;SELL;2025-06-08 00:00:00+00:00;2025-06-08 01:00:00+00:00;2025-06-07 21:36:03.316000+00:00;70.7;EUR;0.2;MWH
2043234905;SELL;2025-06-08 00:00:00+00:00;2025-06-08 00:15:00+00:00;2025-06-07 21:32:39.329000+00:00;78.97;EUR;0.05;MWH
2043353696;SELL;2025-06-08 00:00:00+00:00;2025-06-08 01:00:00+00:00;2025-06-07 23:55:32.924000+00:00;76.15;EUR;0.2;MWH
2043298257;SELL;2025-06-08 00:00:00+00:00;2025-06-08 01:00:00+00:00;2025-06-07 23:00:10.146000+00:00;73.59;EUR;0.2;MWH
2043242660;SELL;2025-06-08 00:00:00+00:00;2025-06-08 00:15:00+00:00;2025-06-07 21:43:49.048000+00:00;76.12;EUR;0.05;MWH
2043242978;SELL;2025-06-08 00:00:00+00:00;2025-06-08 00:15:00+00:00;2025-06-07 21:44:17.196000+00:00;76.06;EUR;0.05;MWH
2043246373;SELL;2025-06-08 00:00:00+00:00;2025-06-08 01:00:00+00:00;2025-06-07 21:48:45.338000+00:00;64.14;EUR;0.2;MWH
2043228775;SELL;2025-06-08 00:00:00+00:00;2025-06-08 00:15:00+00:00;2025-06-07 21:25:25.294000+00:00;81.68;EUR;0.05;MWH
2043295464;SELL;2025-06-08 00:00:00+00:00;2025-06-08 01:00:00+00:00;2025-06-07 22:57:07.958000+00:00;71.77;EUR;0.2;MWH
2043316617;SELL;2025-06-08 00:15:00+00:00;2025-06-08 00:30:00+00:00;2025-06-07 23:15:10.239000+00:00;76.39;EUR;0.05;MWH
2043277617;SELL;2025-06-08 00:15:00+00:00;2025-06-08 00:30:00+00:00;2025-06-07 22:32:23.646000+00:00;71.44;EUR;0.05;MWH
2043242666;SELL;2025-06-08 00:15:00+00:00;2025-06-08 00:30:00+00:00;2025-06-07 21:43:49.148000+00:00;70.41;EUR;0.05;MWH
2043242654;SELL;2025-06-08 00:00:00+00:00;2025-06-08 01:00:00+00:00;2025-06-07 21:43:48.928000+00:00;65.08;EUR;0.2;MWH
2043278589;SELL;2025-06-08 00:15:00+00:00;2025-06-08 00:30:00+00:00;2025-06-07 22:33:51.441000+00:00;72.5;EUR;0.05;MWH
2043280760;SELL;2025-06-08 00:15:00+00:00;2025-06-08 00:30:00+00:00;2025-06-07 22:36:49.091000+00:00;74.23;EUR;0.05;MWH
2043283335;SELL;2025-06-08 00:15:00+00:00;2025-06-08 00:30:00+00:00;2025-06-07 22:41:17.003000+00:00;72.81;EUR;0.05;MWH
2043274156;SELL;2025-06-08 00:15:00+00:00;2025-06-08 00:30:00+00:00;2025-06-07 22:27:57.936000+00:00;73.21;EUR;0.05;MWH
2043296769;SELL;2025-06-08 00:15:00+00:00;2025-06-08 00:30:00+00:00;2025-06-07 22:58:16.168000+00:00;67.09;EUR;0.05;MWH
2043295465;SELL;2025-06-08 00:00:00+00:00;2025-06-08 01:00:00+00:00;2025-06-07 22:57:07.958000+00:00;71.8;EUR;0.3;MWH
2043352927;SELL;2025-06-08 00:00:00+00:00;2025-06-08 01:00:00+00:00;2025-06-07 23:54:38.072000+00:00;52.3;EUR;0.3;MWH
2043275840;SELL;2025-06-08 00:00:00+00:00;2025-06-08 01:00:00+00:00;2025-06-07 22:30:22.639000+00:00;69.19;EUR;0.3;MWH
2043284361;SELL;2025-06-08 00:00:00+00:00;2025-06-08 01:00:00+00:00;2025-06-07 22:42:37.989000+00:00;72.47;EUR;0.3;MWH
2043196535;SELL;2025-06-08 00:00:00+00:00;2025-06-08 01:00:00+00:00;2025-06-07 20:46:04.912000+00:00;70.7;EUR;0.4;MWH
2043313178;SELL;2025-06-08 00:15:00+00:00;2025-06-08 00:30:00+00:00;2025-06-07 23:12:01.030000+00:00;60.03;EUR;0.1;MWH
2043310042;SELL;2025-06-08 00:15:00+00:00;2025-06-08 00:30:00+00:00;2025-06-07 23:09:46.797000+00:00;66.25;EUR;0.1;MWH
2043310030;SELL;2025-06-08 00:00:00+00:00;2025-06-08 01:00:00+00:00;2025-06-07 23:09:45.697000+00:00;67.05;EUR;0.4;MWH
2043168873;SELL;2025-06-08 00:00:00+00:00;2025-06-08 01:00:00+00:00;2025-06-07 20:21:14.814000+00:00;68.78;EUR;0.4;MWH
2043306294;SELL;2025-06-08 00:15:00+00:00;2025-06-08 00:30:00+00:00;2025-06-07 23:06:59.741000+00:00;63.7;EUR;0.1;MWH
2043285566;SELL;2025-06-08 00:00:00+00:00;2025-06-08 01:00:00+00:00;2025-06-07 22:44:45.500000+00:00;71.7;EUR;0.4;MWH
2043296623;SELL;2025-06-08 00:15:00+00:00;2025-06-08 00:30:00+00:00;2025-06-07 22:58:00.495000+00:00;68.05;EUR;0.1;MWH
2043189638;SELL;2025-06-08 00:00:00+00:00;2025-06-08 01:00:00+00:00;2025-06-07 20:38:14.915000+00:00;70.83;EUR;0.4;MWH
2043210126;SELL;2025-06-08 00:00:00+00:00;2025-06-08 01:00:00+00:00;2025-06-07 21:00:00.348000+00:00;70.7;EUR;0.4;MWH
2043284362;SELL;2025-06-08 00:00:00+00:00;2025-06-08 01:00:00+00:00;2025-06-07 22:42:37.989000+00:00;73.0;EUR;0.5;MWH
2043278013;SELL;2025-06-08 00:00:00+00:00;2025-06-08 01:00:00+00:00;2025-06-07 22:32:48.241000+00:00;70.5;EUR;0.5;MWH
2043353642;SELL;2025-06-08 00:00:00+00:00;2025-06-08 01:00:00+00:00;2025-06-07 23:55:31.746000+00:00;74.15;EUR;0.5;MWH
2043296620;SELL;2025-06-08 00:00:00+00:00;2025-06-08 01:00:00+00:00;2025-06-07 22:58:00.421000+00:00;73.0;EUR;0.5;MWH
2043283407;SELL;2025-06-08 00:00:00+00:00;2025-06-08 01:00:00+00:00;2025-06-07 22:41:27.508000+00:00;71.55;EUR;0.5;MWH
2043171481;SELL;2025-06-08 00:00:00+00:00;2025-06-08 01:00:00+00:00;2025-06-07 20:23:18.554000+00:00;70.7;EUR;0.5;MWH
2043353660;SELL;2025-06-08 00:00:00+00:00;2025-06-08 01:00:00+00:00;2025-06-07 23:55:32.065000+00:00;76.15;EUR;0.5;MWH
2043288741;SELL;2025-06-08 00:30:00+00:00;2025-06-08 00:45:00+00:00;2025-06-07 22:48:38.579000+00:00;72.51;EUR;0.05;MWH
2043320467;SELL;2025-06-08 00:30:00+00:00;2025-06-08 00:45:00+00:00;2025-06-07 23:18:56.140000+00:00;60.39;EUR;0.05;MWH
2043318608;SELL;2025-06-08 00:30:00+00:00;2025-06-08 00:45:00+00:00;2025-06-07 23:17:03.145000+00:00;61.53;EUR;0.05;MWH
2043302323;SELL;2025-06-08 00:30:00+00:00;2025-06-08 00:45:00+00:00;2025-06-07 23:04:10.327000+00:00;60.66;EUR;0.05;MWH
2043297245;SELL;2025-06-08 00:30:00+00:00;2025-06-08 00:45:00+00:00;2025-06-07 22:59:09.739000+00:00;65.3;EUR;0.05;MWH
2043287933;SELL;2025-06-08 00:30:00+00:00;2025-06-08 00:45:00+00:00;2025-06-07 22:47:11.425000+00:00;71.22;EUR;0.05;MWH
2043326375;SELL;2025-06-08 00:30:00+00:00;2025-06-08 00:45:00+00:00;2025-06-07 23:24:25.652000+00:00;60.51;EUR;0.05;MWH
2043322116;SELL;2025-06-08 00:30:00+00:00;2025-06-08 00:45:00+00:00;2025-06-07 23:20:21.042000+00:00;61.33;EUR;0.05;MWH
2043277725;SELL;2025-06-08 00:30:00+00:00;2025-06-08 00:45:00+00:00;2025-06-07 22:32:26.307000+00:00;69.39;EUR;0.05;MWH
2043270043;SELL;2025-06-08 00:30:00+00:00;2025-06-08 00:45:00+00:00;2025-06-07 22:22:28.107000+00:00;63.26;EUR;0.05;MWH
2043242667;SELL;2025-06-08 00:30:00+00:00;2025-06-08 00:45:00+00:00;2025-06-07 21:43:49.293000+00:00;62.86;EUR;0.05;MWH
2043329811;SELL;2025-06-08 00:30:00+00:00;2025-06-08 00:45:00+00:00;2025-06-07 23:27:57.421000+00:00;50.18;EUR;0.05;MWH
2043284305;SELL;2025-06-08 00:30:00+00:00;2025-06-08 00:45:00+00:00;2025-06-07 22:42:30.969000+00:00;74.94;EUR;0.05;MWH
2043322508;SELL;2025-06-08 00:30:00+00:00;2025-06-08 00:45:00+00:00;2025-06-07 23:20:48.155000+00:00;58.42;EUR;0.1;MWH
2043168135;SELL;2025-06-08 00:30:00+00:00;2025-06-08 00:45:00+00:00;2025-06-07 20:20:55.768000+00:00;65.36;EUR;0.1;MWH
2043322517;SELL;2025-06-08 00:30:00+00:00;2025-06-08 00:45:00+00:00;2025-06-07 23:20:48.328000+00:00;58.41;EUR;0.1;MWH
2043326367;SELL;2025-06-08 00:30:00+00:00;2025-06-08 00:45:00+00:00;2025-06-07 23:24:25.352000+00:00;60.39;EUR;0.1;MWH
2043326376;SELL;2025-06-08 00:30:00+00:00;2025-06-08 00:45:00+00:00;2025-06-07 23:24:25.961000+00:00;60.21;EUR;0.1;MWH
2043272629;SELL;2025-06-08 00:00:00+00:00;2025-06-08 01:00:00+00:00;2025-06-07 22:25:32.919000+00:00;69.0;EUR;0.5;MWH
2043190520;SELL;2025-06-08 00:00:00+00:00;2025-06-08 01:00:00+00:00;2025-06-07 20:39:01.027000+00:00;70.7;EUR;0.5;MWH
2043171090;SELL;2025-06-08 00:00:00+00:00;2025-06-08 01:00:00+00:00;2025-06-07 20:23:01.271000+00:00;70.7;EUR;0.6;MWH
2043326415;SELL;2025-06-08 00:30:00+00:00;2025-06-08 00:45:00+00:00;2025-06-07 23:24:30.250000+00:00;60.35;EUR;0.15;MWH
