delivery_start__utc_,delivery_end__utc_,price__euro_per_mwh_
2025-06-08 10:15:00.000000 UTC,2025-06-08 10:30:00.000000 UTC,23.95
2025-06-08 10:30:00.000000 UTC,2025-06-08 10:45:00.000000 UTC,10.51
2025-06-08 10:45:00.000000 UTC,2025-06-08 11:00:00.000000 UTC,-4.98
2025-06-08 11:00:00.000000 UTC,2025-06-08 11:15:00.000000 UTC,-0.6
2025-06-08 11:15:00.000000 UTC,2025-06-08 11:30:00.000000 UTC,-2.73
2025-06-08 11:30:00.000000 UTC,2025-06-08 11:45:00.000000 UTC,-3.87
2025-06-08 11:45:00.000000 UTC,2025-06-08 12:00:00.000000 UTC,-0.44
2025-06-08 12:00:00.000000 UTC,2025-06-08 12:15:00.000000 UTC,-1.07
2025-06-08 12:15:00.000000 UTC,2025-06-08 12:30:00.000000 UTC,-6.54
2025-06-08 12:30:00.000000 UTC,2025-06-08 12:45:00.000000 UTC,-2.47
2025-06-08 12:45:00.000000 UTC,2025-06-08 13:00:00.000000 UTC,5.4
2025-06-08 13:00:00.000000 UTC,2025-06-08 13:15:00.000000 UTC,-6.03
2025-06-08 13:15:00.000000 UTC,2025-06-08 13:30:00.000000 UTC,-5.88
2025-06-08 13:30:00.000000 UTC,2025-06-08 13:45:00.000000 UTC,-4.56
2025-06-08 13:45:00.000000 UTC,2025-06-08 14:00:00.000000 UTC,-1.0
2025-06-08 14:00:00.000000 UTC,2025-06-08 14:15:00.000000 UTC,-14.82
2025-06-08 14:15:00.000000 UTC,2025-06-08 14:30:00.000000 UTC,-13.72
2025-06-08 14:30:00.000000 UTC,2025-06-08 14:45:00.000000 UTC,-0.94
2025-06-08 14:45:00.000000 UTC,2025-06-08 15:00:00.000000 UTC,15.22
2025-06-08 15:00:00.000000 UTC,2025-06-08 15:15:00.000000 UTC,-13.19
2025-06-08 15:15:00.000000 UTC,2025-06-08 15:30:00.000000 UTC,32.37
2025-06-08 15:30:00.000000 UTC,2025-06-08 15:45:00.000000 UTC,28.86
2025-06-08 15:45:00.000000 UTC,2025-06-08 16:00:00.000000 UTC,42.45
2025-06-08 16:00:00.000000 UTC,2025-06-08 16:15:00.000000 UTC,33.8
2025-06-08 16:15:00.000000 UTC,2025-06-08 16:30:00.000000 UTC,40.41
2025-06-08 16:30:00.000000 UTC,2025-06-08 16:45:00.000000 UTC,60.46
2025-06-08 16:45:00.000000 UTC,2025-06-08 17:00:00.000000 UTC,78.84
2025-06-08 17:00:00.000000 UTC,2025-06-08 17:15:00.000000 UTC,67.87
2025-06-08 17:15:00.000000 UTC,2025-06-08 17:30:00.000000 UTC,103.81
2025-06-08 17:30:00.000000 UTC,2025-06-08 17:45:00.000000 UTC,185.45
2025-06-08 17:45:00.000000 UTC,2025-06-08 18:00:00.000000 UTC,447.42
2025-06-08 18:00:00.000000 UTC,2025-06-08 18:15:00.000000 UTC,679.0
2025-06-08 18:15:00.000000 UTC,2025-06-08 18:30:00.000000 UTC,195.95
2025-06-08 18:30:00.000000 UTC,2025-06-08 18:45:00.000000 UTC,387.79
2025-06-08 18:45:00.000000 UTC,2025-06-08 19:00:00.000000 UTC,286.98
2025-06-08 19:00:00.000000 UTC,2025-06-08 19:15:00.000000 UTC,116.48
2025-06-08 19:15:00.000000 UTC,2025-06-08 19:30:00.000000 UTC,96.27
2025-06-08 19:30:00.000000 UTC,2025-06-08 19:45:00.000000 UTC,59.47
2025-06-08 19:45:00.000000 UTC,2025-06-08 20:00:00.000000 UTC,46.9
2025-06-08 20:00:00.000000 UTC,2025-06-08 20:15:00.000000 UTC,96.03
2025-06-08 20:15:00.000000 UTC,2025-06-08 20:30:00.000000 UTC,88.54
2025-06-08 20:30:00.000000 UTC,2025-06-08 20:45:00.000000 UTC,69.48
2025-06-08 20:45:00.000000 UTC,2025-06-08 21:00:00.000000 UTC,55.71
2025-06-08 21:00:00.000000 UTC,2025-06-08 21:15:00.000000 UTC,59.65
2025-06-08 21:15:00.000000 UTC,2025-06-08 21:30:00.000000 UTC,49.47
2025-06-08 21:30:00.000000 UTC,2025-06-08 21:45:00.000000 UTC,50.43
2025-06-08 21:45:00.000000 UTC,2025-06-08 22:00:00.000000 UTC,51.22
2025-06-08 22:00:00.000000 UTC,2025-06-08 22:15:00.000000 UTC,69.64
2025-06-08 22:15:00.000000 UTC,2025-06-08 22:30:00.000000 UTC,60.52
2025-06-08 22:30:00.000000 UTC,2025-06-08 22:45:00.000000 UTC,52.08
2025-06-08 22:45:00.000000 UTC,2025-06-08 23:00:00.000000 UTC,46.74
2025-06-08 23:00:00.000000 UTC,2025-06-08 23:15:00.000000 UTC,35.13
2025-06-08 23:15:00.000000 UTC,2025-06-08 23:30:00.000000 UTC,29.87
2025-06-08 23:30:00.000000 UTC,2025-06-08 23:45:00.000000 UTC,29.54
2025-06-08 23:45:00.000000 UTC,2025-06-09 00:00:00.000000 UTC,26.45
2025-06-09 00:00:00.000000 UTC,2025-06-09 00:15:00.000000 UTC,42.64
2025-06-09 00:15:00.000000 UTC,2025-06-09 00:30:00.000000 UTC,45.18
2025-06-09 00:30:00.000000 UTC,2025-06-09 00:45:00.000000 UTC,30.94
2025-06-09 00:45:00.000000 UTC,2025-06-09 01:00:00.000000 UTC,29.14
2025-06-09 01:00:00.000000 UTC,2025-06-09 01:15:00.000000 UTC,45.57
2025-06-09 01:15:00.000000 UTC,2025-06-09 01:30:00.000000 UTC,33.68
2025-06-09 01:30:00.000000 UTC,2025-06-09 01:45:00.000000 UTC,32.23
2025-06-09 01:45:00.000000 UTC,2025-06-09 02:00:00.000000 UTC,28.86
2025-06-09 02:00:00.000000 UTC,2025-06-09 02:15:00.000000 UTC,26.71
2025-06-09 02:15:00.000000 UTC,2025-06-09 02:30:00.000000 UTC,24.8
2025-06-09 02:30:00.000000 UTC,2025-06-09 02:45:00.000000 UTC,39.31
2025-06-09 02:45:00.000000 UTC,2025-06-09 03:00:00.000000 UTC,44.4
2025-06-09 03:00:00.000000 UTC,2025-06-09 03:15:00.000000 UTC,50.22
2025-06-09 03:15:00.000000 UTC,2025-06-09 03:30:00.000000 UTC,50.42
2025-06-09 03:30:00.000000 UTC,2025-06-09 03:45:00.000000 UTC,54.26
2025-06-09 03:45:00.000000 UTC,2025-06-09 04:00:00.000000 UTC,66.15
2025-06-09 04:00:00.000000 UTC,2025-06-09 04:15:00.000000 UTC,62.21
2025-06-09 04:15:00.000000 UTC,2025-06-09 04:30:00.000000 UTC,74.49
2025-06-09 04:30:00.000000 UTC,2025-06-09 04:45:00.000000 UTC,73.64
2025-06-09 04:45:00.000000 UTC,2025-06-09 05:00:00.000000 UTC,63.25
2025-06-09 05:00:00.000000 UTC,2025-06-09 05:15:00.000000 UTC,60.13
2025-06-09 05:15:00.000000 UTC,2025-06-09 05:30:00.000000 UTC,51.15
2025-06-09 05:30:00.000000 UTC,2025-06-09 05:45:00.000000 UTC,42.35
2025-06-09 05:45:00.000000 UTC,2025-06-09 06:00:00.000000 UTC,31.28
2025-06-09 06:00:00.000000 UTC,2025-06-09 06:15:00.000000 UTC,62.23
2025-06-09 06:15:00.000000 UTC,2025-06-09 06:30:00.000000 UTC,49.02
2025-06-09 06:30:00.000000 UTC,2025-06-09 06:45:00.000000 UTC,31.59
2025-06-09 06:45:00.000000 UTC,2025-06-09 07:00:00.000000 UTC,-12.21
2025-06-09 07:00:00.000000 UTC,2025-06-09 07:15:00.000000 UTC,86.82
2025-06-09 07:15:00.000000 UTC,2025-06-09 07:30:00.000000 UTC,125.15
2025-06-09 07:30:00.000000 UTC,2025-06-09 07:45:00.000000 UTC,-15.62
2025-06-09 07:45:00.000000 UTC,2025-06-09 08:00:00.000000 UTC,-20.98
2025-06-09 08:00:00.000000 UTC,2025-06-09 08:15:00.000000 UTC,44.95
2025-06-09 08:15:00.000000 UTC,2025-06-09 08:30:00.000000 UTC,-12.51
2025-06-09 08:30:00.000000 UTC,2025-06-09 08:45:00.000000 UTC,-19.42
2025-06-09 08:45:00.000000 UTC,2025-06-09 09:00:00.000000 UTC,-38.7
2025-06-09 09:00:00.000000 UTC,2025-06-09 09:15:00.000000 UTC,-6.16
2025-06-09 09:15:00.000000 UTC,2025-06-09 09:30:00.000000 UTC,-11.67
2025-06-09 09:30:00.000000 UTC,2025-06-09 09:45:00.000000 UTC,-25.53
2025-06-09 09:45:00.000000 UTC,2025-06-09 10:00:00.000000 UTC,-65.01
2025-06-09 10:00:00.000000 UTC,2025-06-09 10:15:00.000000 UTC,-59.7
2025-06-09 10:15:00.000000 UTC,2025-06-09 10:30:00.000000 UTC,-71.01
2025-06-09 10:30:00.000000 UTC,2025-06-09 10:45:00.000000 UTC,-100.29
2025-06-09 10:45:00.000000 UTC,2025-06-09 11:00:00.000000 UTC,-135.43
2025-06-09 11:00:00.000000 UTC,2025-06-09 11:15:00.000000 UTC,-100.08
2025-06-09 11:15:00.000000 UTC,2025-06-09 11:30:00.000000 UTC,-114.92
2025-06-09 11:30:00.000000 UTC,2025-06-09 11:45:00.000000 UTC,-117.69
2025-06-09 11:45:00.000000 UTC,2025-06-09 12:00:00.000000 UTC,-116.93
2025-06-09 12:00:00.000000 UTC,2025-06-09 12:15:00.000000 UTC,-129.06
2025-06-09 12:15:00.000000 UTC,2025-06-09 12:30:00.000000 UTC,-134.44
2025-06-09 12:30:00.000000 UTC,2025-06-09 12:45:00.000000 UTC,-122.15
2025-06-09 12:45:00.000000 UTC,2025-06-09 13:00:00.000000 UTC,-138.86
2025-06-09 13:00:00.000000 UTC,2025-06-09 13:15:00.000000 UTC,-128.76
2025-06-09 13:15:00.000000 UTC,2025-06-09 13:30:00.000000 UTC,-101.25
2025-06-09 13:30:00.000000 UTC,2025-06-09 13:45:00.000000 UTC,-37.02
2025-06-09 13:45:00.000000 UTC,2025-06-09 14:00:00.000000 UTC,-18.78
2025-06-09 14:00:00.000000 UTC,2025-06-09 14:15:00.000000 UTC,-32.2
2025-06-09 14:15:00.000000 UTC,2025-06-09 14:30:00.000000 UTC,-16.86
2025-06-09 14:30:00.000000 UTC,2025-06-09 14:45:00.000000 UTC,-7.35
2025-06-09 14:45:00.000000 UTC,2025-06-09 15:00:00.000000 UTC,8.5
2025-06-09 15:00:00.000000 UTC,2025-06-09 15:15:00.000000 UTC,-55.87
2025-06-09 15:15:00.000000 UTC,2025-06-09 15:30:00.000000 UTC,-23.72
2025-06-09 15:30:00.000000 UTC,2025-06-09 15:45:00.000000 UTC,-2.82
2025-06-09 15:45:00.000000 UTC,2025-06-09 16:00:00.000000 UTC,54.19
2025-06-09 16:00:00.000000 UTC,2025-06-09 16:15:00.000000 UTC,39.03
2025-06-09 16:15:00.000000 UTC,2025-06-09 16:30:00.000000 UTC,79.79
2025-06-09 16:30:00.000000 UTC,2025-06-09 16:45:00.000000 UTC,115.38
2025-06-09 16:45:00.000000 UTC,2025-06-09 17:00:00.000000 UTC,110.65
2025-06-09 17:00:00.000000 UTC,2025-06-09 17:15:00.000000 UTC,86.78
2025-06-09 17:15:00.000000 UTC,2025-06-09 17:30:00.000000 UTC,106.62
2025-06-09 17:30:00.000000 UTC,2025-06-09 17:45:00.000000 UTC,124.91
2025-06-09 17:45:00.000000 UTC,2025-06-09 18:00:00.000000 UTC,153.84
2025-06-09 18:00:00.000000 UTC,2025-06-09 18:15:00.000000 UTC,138.39
